frame_mode,frame_cycles,rate_mhit_per_mutrig,clipped_to_physical_limit,offset_cycles,offset_frame,wait_to_next_frame_cycles,latency_min_cycles,latency_p50_cycles,latency_max_cycles,latency_max_frames
short,910,1.000,0,0,0.000000,910.000,918.000,936.200,954.400,1.048791
short,910,1.000,0,14,0.015385,896.000,904.000,921.920,939.840,1.032791
short,910,1.000,0,28,0.030769,882.000,890.000,907.640,925.280,1.016791
short,910,1.000,0,43,0.047253,867.000,875.000,892.340,909.680,0.999648
short,910,1.000,0,57,0.062637,853.000,861.000,878.060,895.120,0.983648
short,910,1.000,0,71,0.078022,839.000,847.000,863.780,880.560,0.967648
short,910,1.000,0,85,0.093407,825.000,833.000,849.500,866.000,0.951648
short,910,1.000,0,100,0.109890,810.000,818.000,834.200,850.400,0.934505
short,910,1.000,0,114,0.125275,796.000,804.000,819.920,835.840,0.918505
short,910,1.000,0,128,0.140659,782.000,790.000,805.640,821.280,0.902505
short,910,1.000,0,142,0.156044,768.000,776.000,791.360,806.720,0.886505
short,910,1.000,0,156,0.171429,754.000,762.000,777.080,792.160,0.870505
short,910,1.000,0,171,0.187912,739.000,747.000,761.780,776.560,0.853363
short,910,1.000,0,185,0.203297,725.000,733.000,747.500,762.000,0.837363
short,910,1.000,0,199,0.218681,711.000,719.000,733.220,747.440,0.821363
short,910,1.000,0,213,0.234066,697.000,705.000,718.940,732.880,0.805363
short,910,1.000,0,228,0.250549,682.000,690.000,703.640,717.280,0.788220
short,910,1.000,0,242,0.265934,668.000,676.000,689.360,702.720,0.772220
short,910,1.000,0,256,0.281319,654.000,662.000,675.080,688.160,0.756220
short,910,1.000,0,270,0.296703,640.000,648.000,660.800,673.600,0.740220
short,910,1.000,0,284,0.312088,626.000,634.000,646.520,659.040,0.724220
short,910,1.000,0,299,0.328571,611.000,619.000,631.220,643.440,0.707077
short,910,1.000,0,313,0.343956,597.000,605.000,616.940,628.880,0.691077
