mode,rate_mhit,threshold,min_depth_sim,analytical_depth,required_depth,drop_probability_at_required
iid_256,25.000,0.05,1,1,1,0
iid_256,25.000,0.01,1,1,1,0
iid_256,25.000,1e-06,1,1,1,0
iid_256,50.000,0.05,1,1,1,0
iid_256,50.000,0.01,1,1,1,0
iid_256,50.000,1e-06,1,1,1,0
iid_256,75.000,0.05,1,1,1,0
iid_256,75.000,0.01,1,1,1,0
iid_256,75.000,1e-06,1,1,1,0
iid_256,100.000,0.05,64,244,244,0
iid_256,100.000,0.01,64,254,254,0
iid_256,100.000,1e-06,96,256,256,0
iid_256,125.000,0.05,96,244,244,0
iid_256,125.000,0.01,128,254,254,0
iid_256,125.000,1e-06,128,256,256,0
iid_256,150.000,0.05,128,244,244,0
iid_256,150.000,0.01,128,254,254,0
iid_256,150.000,1e-06,160,256,256,0
iid_256,175.000,0.05,160,244,244,0
iid_256,175.000,0.01,160,254,254,0
iid_256,175.000,1e-06,192,256,256,0
iid_256,200.000,0.05,160,244,244,0
iid_256,200.000,0.01,160,254,254,0
iid_256,200.000,1e-06,192,256,256,0
iid_256,225.000,0.05,160,244,244,0
iid_256,225.000,0.01,192,254,254,0
iid_256,225.000,1e-06,192,256,256,0
cluster8_local,25.000,0.05,8,8,8,0
cluster8_local,25.000,0.01,8,8,8,0
cluster8_local,25.000,1e-06,8,8,8,0
cluster8_local,50.000,0.05,8,8,8,0
cluster8_local,50.000,0.01,8,8,8,0
cluster8_local,50.000,1e-06,8,8,8,0
cluster8_local,75.000,0.05,8,8,8,0
cluster8_local,75.000,0.01,8,8,8,0
cluster8_local,75.000,1e-06,8,8,8,0
cluster8_local,100.000,0.05,8,8,8,0
cluster8_local,100.000,0.01,8,8,8,0
cluster8_local,100.000,1e-06,8,8,8,0
cluster8_local,125.000,0.05,8,8,8,0
cluster8_local,125.000,0.01,8,8,8,0
cluster8_local,125.000,1e-06,8,8,8,0
cluster8_local,150.000,0.05,8,8,8,0
cluster8_local,150.000,0.01,8,8,8,0
cluster8_local,150.000,1e-06,8,8,8,0
cluster8_local,175.000,0.05,8,8,8,0
cluster8_local,175.000,0.01,8,8,8,0
cluster8_local,175.000,1e-06,8,8,8,0
cluster8_local,200.000,0.05,8,8,8,0
cluster8_local,200.000,0.01,8,8,8,0
cluster8_local,200.000,1e-06,8,8,8,0
cluster8_local,225.000,0.05,8,8,8,0
cluster8_local,225.000,0.01,8,8,8,0
cluster8_local,225.000,1e-06,8,8,8,0
cluster8_roaming,25.000,0.05,8,8,8,0
cluster8_roaming,25.000,0.01,8,8,8,0
cluster8_roaming,25.000,1e-06,8,8,8,0
cluster8_roaming,50.000,0.05,8,8,8,0
cluster8_roaming,50.000,0.01,8,8,8,0
cluster8_roaming,50.000,1e-06,8,8,8,0
cluster8_roaming,75.000,0.05,8,8,8,0
cluster8_roaming,75.000,0.01,8,8,8,0
cluster8_roaming,75.000,1e-06,8,8,8,0
cluster8_roaming,100.000,0.05,64,244,244,0
cluster8_roaming,100.000,0.01,96,254,254,0
cluster8_roaming,100.000,1e-06,96,256,256,0
cluster8_roaming,125.000,0.05,96,244,244,0
cluster8_roaming,125.000,0.01,128,254,254,0
cluster8_roaming,125.000,1e-06,160,256,256,0
cluster8_roaming,150.000,0.05,128,244,244,0
cluster8_roaming,150.000,0.01,160,254,254,0
cluster8_roaming,150.000,1e-06,192,256,256,0
cluster8_roaming,175.000,0.05,160,244,244,0
cluster8_roaming,175.000,0.01,160,254,254,0
cluster8_roaming,175.000,1e-06,192,256,256,0
cluster8_roaming,200.000,0.05,160,244,244,0
cluster8_roaming,200.000,0.01,192,254,254,0
cluster8_roaming,200.000,1e-06,224,256,256,0
cluster8_roaming,225.000,0.05,192,244,244,0
cluster8_roaming,225.000,0.01,192,254,254,0
cluster8_roaming,225.000,1e-06,224,256,256,0
mix50_iid_cluster8,25.000,0.05,8,8,8,0
mix50_iid_cluster8,25.000,0.01,8,8,8,0
mix50_iid_cluster8,25.000,1e-06,8,8,8,0
mix50_iid_cluster8,50.000,0.05,16,8,16,0
mix50_iid_cluster8,50.000,0.01,16,8,16,0
mix50_iid_cluster8,50.000,1e-06,16,8,16,0
mix50_iid_cluster8,75.000,0.05,8,8,8,0.0404591762
mix50_iid_cluster8,75.000,0.01,16,8,16,0
mix50_iid_cluster8,75.000,1e-06,16,8,16,0
mix50_iid_cluster8,100.000,0.05,64,244,244,0
mix50_iid_cluster8,100.000,0.01,96,254,254,0
mix50_iid_cluster8,100.000,1e-06,96,256,256,0
mix50_iid_cluster8,125.000,0.05,96,244,244,0
mix50_iid_cluster8,125.000,0.01,128,254,254,0
mix50_iid_cluster8,125.000,1e-06,128,256,256,0
mix50_iid_cluster8,150.000,0.05,128,244,244,0
mix50_iid_cluster8,150.000,0.01,160,254,254,0
mix50_iid_cluster8,150.000,1e-06,160,256,256,0
mix50_iid_cluster8,175.000,0.05,160,244,244,0
mix50_iid_cluster8,175.000,0.01,160,254,254,0
mix50_iid_cluster8,175.000,1e-06,192,256,256,0
mix50_iid_cluster8,200.000,0.05,160,244,244,0
